game,seed,status,completed,progress_frames,progress_agent_actions,progress_source,latest_score_frame,latest_score,score_source,logdir,error_hint
freeway,0,completed,True,440000,110000,update_trace_v6,433616,0.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/freeway/seed_0,
freeway,1,completed,True,440000,110000,update_trace_v6,433596,0.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/freeway/seed_1,
freeway,2,completed,True,440000,110000,update_trace_v6,433604,0.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/freeway/seed_2,
freeway,3,completed,True,440000,110000,update_trace_v6,433580,0.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/freeway/seed_3,
freeway,4,completed,True,440000,110000,update_trace_v6,433676,0.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/freeway/seed_4,
frostbite,0,completed,True,440000,110000,update_trace_v6,436908,2170.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/frostbite/seed_0,
frostbite,1,completed,True,440000,110000,update_trace_v6,439480,1230.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/frostbite/seed_1,
frostbite,2,completed,True,440000,110000,update_trace_v6,438008,3010.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/frostbite/seed_2,
frostbite,3,completed,True,440000,110000,update_trace_v6,438940,280.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/frostbite/seed_3,
frostbite,4,completed,True,440000,110000,update_trace_v6,437536,2620.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/frostbite/seed_4,
gopher,0,completed,True,440000,110000,update_trace_v6,439072,500.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/gopher/seed_0,
gopher,1,completed,True,440000,110000,update_trace_v6,438872,2020.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/gopher/seed_1,
